objectid,zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,pop15,st_areashape,st_lengthshape
64,96780,96780,B5,G6350,S,7722731,9570849,19.9697595,-155.2161658,{A5AD7E6F-B237-4834-8C6F-F390E9DE50C6},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,760,17346311.09,0
65,96781,96781,B5,G6350,S,104368175,3053936,19.7861519,-155.2177041,{DECBDACE-9F3B-4E5C-84D4-E56C72C8F2F7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1647,107761483.2,0
66,96782,96782,B5,G6350,S,45535315,3005779,21.4173737,-157.9368666,{D00917D2-6F7F-412B-8415-85D53D16C2F0},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,40444,48516660.08,0
67,96783,96783,B5,G6350,S,50575775,3795787,19.8308273,-155.1441585,{259DC440-AF87-4C57-AF44-9BAE83A32BA8},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2057,54547382.62,0
68,96785,96785,B5,G6350,S,671732149,0,19.4537285,-155.4075457,{C26420D4-0220-4B01-820D-042716E1C616},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2506,673537220.3,0
69,96786,96786,B5,G6350,S,212418086,1035584,21.5640595,-157.9793072,{F9A6D2A3-8390-4285-9F53-66772D80E5AA},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,46611,213340022.7,0
70,96789,96789,B5,G6350,S,70646579,395265,21.483875,-157.9342839,{BDDF5EB6-5B21-4C48-B7BA-CAD9F42F5693},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,54351,71004399.92,0
71,96790,96790,B5,G6350,S,588725374,7123994,20.685422,-156.3053831,{4840DAF1-087C-4335-B461-7797B60A4083},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,9581,596560171.8,0
72,96791,96791,B5,G6350,S,96578192,8394014,21.5636399,-158.1851505,{380A03E7-2B3E-4520-9E9D-8A6DCC7D4FEF},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,7361,104907314.5,0
73,96792,96792,B5,G6350,S,158049153,35322099,21.4686264,-158.1669188,{1A1409E2-4B30-4848-ADA7-EE44CD169B4B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,48350,193251234.6,0
74,96793,96793,B5,G6350,S,177904979,15586007,20.895445,-156.5301223,{A83E568E-8B17-4244-ABC4-37A38858E862},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,31366,193657569.8,0
75,96795,96795,B5,G6350,S,28915581,5242480,21.3350127,-157.7109242,{E4A5E07E-64B6-4931-B869-551706633B05},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,10685,34144851.66,0
76,96796,96796,B5,G6350,S,119571581,11429246,22.0940551,-159.7187487,{3A965289-08F6-4C14-8E09-0C32A87B624A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1690,130915761,0
77,96797,96797,B5,G6350,S,88892874,4807159,21.4296209,-157.9718774,{A192E510-3E91-412C-9540-DDFAB0110BD7},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,75196,93650471.96,0
78,96813,96813,B5,G6350,S,8911418,644117,21.3165482,-157.8450525,{C95D0ED8-E95E-4B17-9595-41FFABDFE43D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,22391,9551237.574,0
39,96752,96752,B5,G6350,S,10418463,1877589,21.9709645,-159.7145071,{F3BA4B57-29EC-4D1A-9BAB-DFDC59F4A66A},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3211,12288165.87,0
40,96753,96753,B5,G6350,S,84235522,20075886,20.711955,-156.4384985,{81E7AEAA-14E8-4D46-9233-D4D36349C91B},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,28134,104415225.5,0
41,96754,96754,B5,G6350,S,107410684,9914228,22.1789153,-159.4122902,{D2132754-CEB7-4DCD-9379-9EA1F064CEB6},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4012,117240523.1,0
42,96755,96755,B5,G6350,S,150177591,37661786,20.1969062,-155.789908,{743F9A46-65E9-4800-BC60-C497B5958822},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3057,188216380.3,0
43,96756,96756,B5,G6350,S,63917096,9375026,21.9070715,-159.4516648,{D50B916C-40BF-40B4-AB22-33C654D72211},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,5546,73240114.72,0
44,96757,96757,B5,G6350,S,39794092,33174,21.1544529,-156.9773793,{732FCDB2-7A3E-4AEB-87A6-3F8C994D0266},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,756,39837620.41,0
45,96759,96759,B5,G6350,S,15422489,0,21.4674179,-158.0724275,{2B91518B-48CB-4498-B393-B1144C8D042D},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,431,15413613.3,0
46,96760,96760,B5,G6350,S,44922254,0,19.5547638,-155.0561129,{6903757A-06A9-4CFA-A497-7A0F0D3641AD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2645,45076418.34,0
47,96761,96761,B5,G6350,S,200117174,36162896,20.8972957,-156.6135404,{459FF404-A149-4216-91B7-B40A215D7EDF},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,21954,236457541.4,0
48,96762,96762,B5,G6350,S,31223926,2163387,21.6185312,-157.9439002,{BFD702F0-41CD-4679-9783-353C72BD5164},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,5811,33370213.33,0
